"_time",bytes,"bytes_in","bytes_out","dest_ip","dest_port",packets,"packets_in","packets_out","src_ip"
"1495489509.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495489509.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495489502.000",2000,1154,846,"10.83.22.26",445,15,6,9,"10.84.42.134"
"1495489501.000",282,142,140,"10.83.22.26",445,5,2,3,"10.84.42.134"
"1495489497.000",2000,1154,846,"10.83.22.26",445,15,6,9,"10.84.42.134"
"1495489496.000",352,212,140,"10.83.22.26",445,6,3,3,"10.84.42.134"
"1495489495.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495489495.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495489495.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495503303.000",17951,9751,8200,"10.11.168.10",445,89,35,54,"10.84.42.134"
"1495502139.000",6533,1823,4710,"10.11.168.10",445,23,9,14,"10.84.42.134"
"1495501994.000",124,60,64,"10.185.233.66",445,2,1,1,"10.84.42.134"
"1495501422.000",23866,6962,16904,"10.11.168.9",445,63,28,35,"10.84.42.134"
"1495501278.000",20461,9330,11131,"10.11.168.180",445,94,45,49,"10.84.42.134"
"1495500798.000",6573,1823,4750,"10.11.168.9",445,23,9,14,"10.84.42.134"
"1495500206.000",15047,5810,9237,"10.11.168.180",445,63,30,33,"10.84.42.134"
"1495499897.000",6573,1823,4750,"10.11.168.9",445,23,9,14,"10.84.42.134"
"1495501995.000",126,64,62,"10.185.233.66",445,2,1,1,"10.84.42.134"
"1495501993.000",116,54,62,"10.185.233.66",445,2,1,1,"10.84.42.134"
"1495502703.000",17243,9467,7776,"10.11.168.10",445,83,33,50,"10.84.42.134"
"1495501316.000",7501,2353,5148,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495500339.000",6533,1823,4710,"10.11.168.10",445,23,9,14,"10.84.42.134"
"1495500305.000",7440,2347,5093,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495499466.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495499466.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495499466.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495499441.000",16474,7310,9164,"10.11.168.180",445,76,36,40,"10.84.42.134"
"1495499438.000",6533,1823,4710,"10.11.168.10",445,23,9,14,"10.84.42.134"
"1495499420.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495499420.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495499420.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495501239.000",6533,1823,4710,"10.11.168.10",445,23,9,14,"10.84.42.134"
"1495499804.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495499804.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495499804.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495499784.000",7440,2347,5093,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495499560.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495499560.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495499560.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495499516.000",7501,2353,5148,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495499512.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495499512.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495499512.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495499510.000",7485,2347,5138,"10.11.168.10",445,26,11,15,"10.84.42.134"
"1495499376.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495499376.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495499376.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495499264.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495499264.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495498638.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
"1495498638.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495498638.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495498594.000",492,0,492,"136.98.149.1",445,7,0,7,"10.84.42.134"
"1495498594.000",492,0,492,"136.98.100.1",445,7,0,7,"10.84.42.134"
"1495498594.000",492,0,492,"10.125.242.1",445,7,0,7,"10.84.42.134"
