EventCode,EventType,RecordNumber,"_time",action,"anonymized_ComputerName",dest,source,sourcetype,src,user
4624,0,250364597,"1473305340.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,250365922,"1473305505.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,1018959853,"1473305745.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250371837,"1473306312.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,1018971766,"1473306544.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1018977626,"1473306914.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,111238705,"1473307362.000",success,"anon_ComputerName_14","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,250380259,"1473307391.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250381040,"1473307504.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1018986874,"1473307512.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,250382583,"1473307672.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,1018990727,"1473307754.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250384243,"1473307883.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250385243,"1473308010.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,250385864,"1473308104.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250386982,"1473308255.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,1018998196,"1473308273.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,1018999370,"1473308370.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250388831,"1473308495.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,250390646,"1473308751.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1019016035,"1473309541.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1019023401,"1473310022.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1019025247,"1473310155.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,1019025807,"1473310184.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,1019036784,"1473310904.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,1019039331,"1473311101.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,250408372,"1473311112.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,1019040158,"1473311135.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250409568,"1473311255.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1019042187,"1473311272.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,1019048760,"1473311744.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,1019054841,"1473312180.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250417552,"1473312295.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,1019058456,"1473312444.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250420311,"1473312664.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,1019063037,"1473312784.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,1019065308,"1473312944.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,250422473,"1473312945.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,250423037,"1473313037.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,1019067802,"1473313144.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250424786,"1473313264.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250427333,"1473313632.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1019074767,"1473313652.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,250428543,"1473313785.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,1019083868,"1473314272.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,250433048,"1473314370.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250438074,"1473314976.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250438174,"1473314992.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250440831,"1473315352.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,1019103873,"1473315665.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,1019105921,"1473315825.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,250445175,"1473315945.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,1019108616,"1473316022.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4624,0,250445781,"1473316024.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,250445801,"1473316025.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250451987,"1473316864.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1019122389,"1473316994.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4624,0,1019123986,"1473317114.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.103",bob
4648,0,250455309,"1473317341.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.102",bob
4648,0,1019127554,"1473317354.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,1019129531,"1473317464.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,1019129873,"1473317474.000",success,"anon_ComputerName_18","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250456767,"1473317512.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4624,0,250458373,"1473317752.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
4648,0,250461149,"1473318105.000",success,"anon_ComputerName_19","host_12","WinEventLog:Security","WinEventLog:Security","10.17.0.101",bob
