"_time",host,service,"start_mode",status
"1515608032.750","host_9",wuauserv,Auto,Running
"1515608340.983","host_6",wuauserv,Manual,Running
"1515608964.704","host_12",wuauserv,Manual,Stopped
"1515609001.866","host_1",wuauserv,Manual,Running
"1515609009.394","host_8",wuauserv,Auto,Running
"1515609383.414","host_11",wuauserv,Auto,Running
"1515609530.594","host_15",wuauserv,Manual,Running
"1515609530.594","host_15",wuauserv,Manual,Running
"1515609586.767","host_14",wuauserv,Auto,Running
"1515611088.202","host_5",wuauserv,Manual,Stopped
"1515611128.555","host_13",wuauserv,Manual,Stopped
"1515611316.583","host_2",wuauserv,Manual,Running
"1515611354.118","host_7",wuauserv,Manual,Running
"1515611573.646","host_3",wuauserv,Manual,Running
"1515611632.956","host_9",wuauserv,Auto,Running
"1515612302.294","host_10",wuauserv,Auto,Running
"1515612602.478","host_1",wuauserv,Manual,Running
"1515612609.859","host_8",wuauserv,Auto,Running
"1515612768.149","host_6",wuauserv,Manual,Running
"1515613131.131","host_15",wuauserv,Manual,Running
"1515613187.111","host_14",wuauserv,Auto,Running
"1515613253.919","host_11",wuauserv,Auto,Running
"1515614002.280","host_12",wuauserv,Manual,Stopped
"1515614693.533","host_5",wuauserv,Manual,Stopped
"1515614916.917","host_2",wuauserv,Manual,Running
"1515614954.270","host_7",wuauserv,Manual,Running
"1515615233.325","host_9",wuauserv,Auto,Running
"1515615849.193","host_3",wuauserv,Manual,Stopped
"1515616202.792","host_1",wuauserv,Manual,Running
"1515616207.679","host_13",wuauserv,Manual,Stopped
"1515616210.250","host_8",wuauserv,Auto,Running
"1515616456.663","host_6",wuauserv,Manual,Running
"1515616489.637","host_10",wuauserv,Auto,Running
"1515616731.637","host_15",wuauserv,Manual,Running
"1515616787.696","host_14",wuauserv,Auto,Running
"1515616980.527","host_11",wuauserv,Auto,Running
"1515618300.364","host_5",wuauserv,Manual,Stopped
"1515618517.205","host_2",wuauserv,Manual,Running
"1515618554.844","host_7",wuauserv,Manual,Running
"1515618729.666","host_12",wuauserv,Manual,Stopped
"1515618833.638","host_9",wuauserv,Auto,Running
"1515619803.185","host_1",wuauserv,Manual,Running
"1515619810.606","host_8",wuauserv,Auto,Running
"1515619997.423","host_3",wuauserv,Manual,Running
"1515620143.317","host_6",wuauserv,Manual,Running
"1515620196.018","host_10",wuauserv,Auto,Running
"1515620332.003","host_15",wuauserv,Manual,Running
"1515620388.107","host_14",wuauserv,Auto,Running
"1515620767.075","host_11",wuauserv,Auto,Running
"1515621192.848","host_13",wuauserv,Manual,Stopped
"1515621904.507","host_5",wuauserv,Manual,Stopped
"1515622117.477","host_2",wuauserv,Manual,Running
"1515622155.044","host_7",wuauserv,Manual,Running
"1515622434.272","host_9",wuauserv,Auto,Running
"1515623403.703","host_1",wuauserv,Manual,Running
"1515623410.950","host_8",wuauserv,Auto,Running
"1515623685.366","host_12",wuauserv,Manual,Stopped
"1515623811.047","host_6",wuauserv,Manual,Running
"1515623822.245","host_10",wuauserv,Auto,Running
"1515623932.572","host_15",wuauserv,Manual,Running
"1515623988.529","host_14",wuauserv,Auto,Running
"1515624493.746","host_11",wuauserv,Auto,Running
"1515624970.813","host_3",wuauserv,Manual,Stopped
"1515625506.932","host_5",wuauserv,Manual,Stopped
"1515625718.031","host_2",wuauserv,Manual,Running
"1515625755.227","host_7",wuauserv,Manual,Running
"1515626034.822","host_9",wuauserv,Auto,Running
"1515626151.220","host_13",wuauserv,Manual,Stopped
"1515627003.878","host_1",wuauserv,Manual,Running
"1515627011.245","host_8",wuauserv,Auto,Running
"1515627532.922","host_15",wuauserv,Manual,Running
"1515627588.918","host_14",wuauserv,Auto,Running
"1515627808.843","host_10",wuauserv,Auto,Running
"1515628180.071","host_11",wuauserv,Auto,Running
"1515628223.248","host_6",wuauserv,Manual,Running
"1515628494.434","host_12",wuauserv,Manual,Stopped
"1515629062.166","host_3",wuauserv,Manual,Running
"1515629062.166","host_3",wuauserv,Manual,Running
"1515629107.512","host_5",wuauserv,Manual,Stopped
"1515629318.303","host_2",wuauserv,Manual,Running
"1515629355.785","host_7",wuauserv,Manual,Running
"1515629636.051","host_9",wuauserv,Auto,Running
"1515630604.145","host_1",wuauserv,Manual,Running
"1515630611.714","host_8",wuauserv,Auto,Running
"1515631075.528","host_13",wuauserv,Manual,Stopped
"1515631133.225","host_15",wuauserv,Manual,Running
"1515631189.204","host_14",wuauserv,Auto,Running
"1515631435.173","host_10",wuauserv,Auto,Running
"1515632170.095","host_6",wuauserv,Manual,Stopped
"1515632709.292","host_5",wuauserv,Manual,Stopped
