EventCode,EventType,Message,OpCode,RecordNumber,"_time","anonymized_ComputerName",source,sourcetype
20001,4,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\ISATAP_1 with the following status: 0x0.",Info,193871,"1470187643.000","anon_ComputerName_7","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver nettun.inf_amd64_39a76f4fea741eb0\nettun.inf for Device Instance ID SWD\IP_TUNNEL_VBUS\ISATAP_2 with the following status: 0x0.",Info,193878,"1470187660.000","anon_ComputerName_7","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,97669,"1471245890.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,97676,"1471245891.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.",Info,130865,"1472077249.000","anon_ComputerName_2","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,100063,"1472164958.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,100070,"1472164959.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.",Info,131093,"1472165404.000","anon_ComputerName_2","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8D2E0165-75E4-11E5-80E1-0050569501D2}#0000000008010000 with the following status: 0x0.",Info,131112,"1472166111.000","anon_ComputerName_2","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,89939,"1472168766.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A419-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,89944,"1472168767.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6466-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,100119,"1472168776.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{101D6467-7341-11E5-80E0-005056BD58CA}#0000000008010000 with the following status: 0x0.",Info,100110,"1472168776.000","anon_ComputerName_4","WinEventLog:System","WinEventLog:System"
20001,4,"Driver Management concluded the process to install driver wpdfs.inf_amd64_0e729876a834cfea\wpdfs.inf for Device Instance ID SWD\WPDBUSENUM\{8444A418-75E4-11E5-80E1-005056957DCE}#0000000008010000 with the following status: 0x0.",Info,89973,"1472168950.000","anon_ComputerName_3","WinEventLog:System","WinEventLog:System"
