EventCode,"_time",sourcetype,tag,user
4624,"1527589203.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527587957.000","WinEventLog:Security","authentication;os;security;windows",alice
4624,"1527587956.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4768,"1527587924.000","WinEventLog:Security","authentication;os;security;windows",chuck
4768,"1527587924.000","WinEventLog:Security","authentication;os;security;windows",chuck
4634,"1527587884.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4624,"1527587427.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4648,"1527587427.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4768,"1527587427.000","WinEventLog:Security","authentication;os;security;windows",alice
4624,"1527587385.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527586673.000","WinEventLog:Security","authentication;os;security;windows",alice
4624,"1527586673.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4634,"1527585581.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527585581.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527585552.000","WinEventLog:Security","authentication;os;security;windows",chuck
4624,"1527585551.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4624,"1527585394.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4648,"1527585394.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4634,"1527584222.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4624,"1527584216.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4634,"1527584104.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527583430.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527582429.000","WinEventLog:Security","authentication;os;security;windows",alice
4634,"1527582422.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",alice
4634,"1527581960.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527580622.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4624,"1527580436.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527580144.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527580060.000","WinEventLog:Security","authentication;os;security;windows",alice
4648,"1527579996.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4634,"1527579722.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",alice
4634,"1527579612.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527578343.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4648,"1527578192.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4624,"1527577828.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4634,"1527577022.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",alice
4624,"1527576750.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527576526.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527576351.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527575217.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4648,"1527575217.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4634,"1527574699.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527574699.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527572870.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527572870.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527572743.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527572743.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527571622.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",alice
4768,"1527571260.000","WinEventLog:Security","authentication;os;security;windows",chuck
4634,"1527571052.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527570787.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4648,"1527570787.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4768,"1527570787.000","WinEventLog:Security","authentication;os;security;windows",alice
4624,"1527570084.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527570017.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527569884.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",alice
4624,"1527569535.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527569532.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527567439.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4768,"1527567394.000","WinEventLog:Security","authentication;os;security;windows",chuck
4634,"1527567122.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4648,"1527566360.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4624,"1527565622.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527565520.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4768,"1527564570.000","WinEventLog:Security","authentication;os;security;windows",alice
4624,"1527564570.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4634,"1527564483.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4768,"1527562742.000","WinEventLog:Security","authentication;os;security;windows",alice
4624,"1527562742.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",alice
4648,"1527562741.000","WinEventLog:Security","authentication;os;remote;security;windows",alice
4648,"1527562355.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4768,"1527562355.000","WinEventLog:Security","authentication;os;security;windows",chuck
4634,"1527562325.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527562323.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527561909.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527560207.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4624,"1527560044.000","WinEventLog:Security","authentication;cleartext;os;remote;security;windows",chuck
4648,"1527560044.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4634,"1527559083.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4634,"1527558658.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4648,"1527558339.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4634,"1527558122.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4768,"1527556533.000","WinEventLog:Security","authentication;os;security;windows",chuck
4634,"1527556322.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",alice
4634,"1527554991.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527554989.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527554989.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4768,"1527553876.000","WinEventLog:Security","authentication;os;security;windows",chuck
4768,"1527553574.000","WinEventLog:Security","authentication;os;security;windows",alice
4624,"1527552958.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527552722.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",alice
4648,"1527551603.000","WinEventLog:Security","authentication;os;privileged;remote;security;windows",chuck
4634,"1527551145.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527550800.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4634,"1527549342.000","WinEventLog:Security","access;logoff;os;remote;security;stop;windows",chuck
4624,"1527549342.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
4634,"1527549121.000","WinEventLog:Security","access;cleartext;logoff;os;remote;security;stop;windows",chuck
4624,"1527547700.000","WinEventLog:Security","authentication;os;remote;security;windows",chuck
