badPwdCount,lastLogonTimestamp,logonCount,pwdLastSet,sAMAccountName,whenCreated
0,"2018-03-09T18:34:04.725415Z",65,"2018-01-17T17:06:36.665274Z",user3575,"20170531184945.0Z"
0,"2018-03-12T15:19:48.808568Z",9000,"2018-02-20T17:07:21.214135Z",user3582,"20170526000255.0Z"
0,"2018-03-15T01:52:42.495280Z",158,"2018-02-19T22:41:33.989650Z",user3588,"20170525020241.0Z"
0,"2018-03-06T16:45:47.797981Z",2075,"2018-02-19T20:32:46.162524Z",user3590,"20170524220247.0Z"
0,"2018-03-11T05:57:04.973948Z",1066,"2018-03-11T05:58:32.132606Z",user3598,"20170524180254.0Z"
0,"2018-03-08T19:00:05.706314Z",834,"2018-03-08T20:40:54.977826Z",user3609,"20170523184833.0Z"
0,"2018-03-16T14:14:59.318263Z",80,"2018-02-08T13:56:40.146627Z",user3617,"20170519000335.0Z"
0,"2018-03-12T00:33:01.191789Z",274,"2018-01-26T00:45:07.081696Z",user3618,"20170518180427.0Z"
2,"2018-03-15T04:21:42.863371Z",160,"2018-03-12T02:15:47.931661Z",user3621,"20170518170349.0Z"
1,"2017-05-25T16:38:21.347154Z",1,"2017-05-25T16:36:45.998108Z",user3623,"20170516200334.0Z"
0,"2018-03-13T10:52:12.184312Z",471,"2018-01-29T15:08:36.387699Z",user3627,"20170516180344.0Z"
0,"2018-02-22T18:54:09.953249Z",194,"2018-01-25T20:43:52.735656Z",user3629,"20170516061900.0Z"
0,"2018-03-14T17:28:00.922319Z",421,"2018-02-13T03:08:45.311852Z",user3637,"20170513020315.0Z"
0,"2018-03-15T22:27:52.041764Z",263,"2018-02-12T17:08:46.254226Z",user3658,"20170510210312.0Z"
,"2017-08-14T15:00:50.246192Z",23,"2017-05-27T00:32:37.975973Z",user3696,"20170501175338.0Z"
0,"2018-03-12T01:04:37.279227Z",221,"2018-01-15T02:22:59.613094Z",user3700,"20170427070337.0Z"
0,"2018-03-14T02:55:30.410310Z",911,"2017-12-29T12:53:34.789008Z",user3723,"20170419230354.0Z"
0,"2018-03-14T21:54:13.501268Z",7559,"2018-03-07T20:50:16.030729Z",user3725,"20170419210315.0Z"
