"USER_ID","USER_VIEWED","_time",country
00533000003KBBB,"ANON_USER_2748","1488452198.023",USA
0053300000B0945,"ANON_USER_1657","1488452422.068",USA
0053300000B33K5,"ANON_USER_3276","1488452537.830",USA
0053300000B0945,"ANON_USER_1657","1488452572.868",USA
0054000000BAK31,"ANON_USER_1314","1488452615.911",USA
0054000000B313B,"ANON_USER_913","1488452873.770",USA
0053300000B0945,"ANON_USER_2530","1488453098.047",USA
0053300000B0945,"ANON_USER_2530","1488453258.073",USA
0053300000B9B92,"ANON_USER_620","1488453323.647",USA
0053300000B9B92,"ANON_USER_620","1488453324.086",USA
00540000003B233,"ANON_USER_1434","1488453420.264",USA
0053300000B0945,"ANON_USER_2530","1488453641.492",USA
0053300000B0945,"ANON_USER_1657","1488453673.283",USA
0053300000B0945,"ANON_USER_1657","1488453819.017",USA
0053300000B0019,"ANON_USER_1434","1488454841.982",USA
0053300000B33K5,"ANON_USER_1502","1488455075.457",USA
0053300000B33K5,"ANON_USER_1502","1488455076.813",USA
0053300000B33K5,"ANON_USER_1502","1488455111.358",USA
0053300000B7JK0,"ANON_USER_2184","1488455441.673",USA
0053300000B7JK0,"ANON_USER_2184","1488455452.320",USA
0053300000B9B92,"ANON_USER_1315","1488456506.139",APAC
005330000073215,"ANON_USER_640","1488456719.190",USA
005330000073215,"ANON_USER_640","1488456748.296",USA
0053300000B33B9,"ANON_USER_1502","1488457119.623",USA
0053300000B33K5,"ANON_USER_1553","1488458056.554",EMEA
0053300000B33K5,"ANON_USER_1553","1488458079.374",EMEA
0053300000B37B3,"ANON_USER_289","1488458953.249",USA
0053300000B37B3,"ANON_USER_410","1488459006.168",USA
005330000073133,"ANON_USER_3117","1488459839.202",APAC
0053300000B37B3,"ANON_USER_1425","1488459873.333",EMEA
005330000039943,"ANON_USER_1214","1488460790.171",USA
0053300000B9373,"ANON_USER_311","1488461512.999",EMEA
0053300000B7730,"ANON_USER_2400","1488461569.637",USA
0053300000B33K5,"ANON_USER_236","1488461664.752",EMEA
0053300000B33K5,"ANON_USER_236","1488461687.567",EMEA
0053300000B9B92,"ANON_USER_1156","1488461701.189",USA
0053300000B9B92,"ANON_USER_1156","1488461735.013",USA
0053300000B33K5,"ANON_USER_236","1488461819.119",EMEA
0053300000BB313,"ANON_USER_3125","1488461859.077",EMEA
0053300000BB313,"ANON_USER_1982","1488461882.330",USA
0053300000BB313,"ANON_USER_1982","1488461888.878",USA
0053300000BB313,"ANON_USER_3125","1488461927.771",EMEA
0053300000B3251,"ANON_USER_935","1488462161.689",EMEA
0053300000B3251,"ANON_USER_935","1488462180.675",EMEA
0053300000B33K5,"ANON_USER_1553","1488462540.575",EMEA
0054000000B2373,"ANON_USER_3028","1488462617.066",USA
00533000003KKB7,"ANON_USER_2235","1488462981.642",USA
0053300000B32B0,"ANON_USER_3240","1488462982.838",EMEA
00533000003KKB7,"ANON_USER_2645","1488463034.770",EMEA
0054000000B9B9J,"ANON_USER_2159","1488463059.644",USA
0054000000B9B9J,"ANON_USER_2159","1488463081.416",USA
0053300000B3313,"ANON_USER_1445","1488463110.787",EMEA
005330000073133,"ANON_USER_2393","1488463111.481",USA
0053300000B3313,"ANON_USER_1445","1488463127.785",EMEA
0053300000B3313,"ANON_USER_1445","1488463131.870",EMEA
0053300000B3233,"ANON_USER_2320","1488463347.532",USA
0053300000B3292,"ANON_USER_3180","1488463390.697",USA
0053300000B3233,"ANON_USER_2320","1488463399.838",USA
0053300000BB3BB,"ANON_USER_2305","1488463578.516",USA
005330000073215,"ANON_USER_1025","1488463745.681",USA
0054000000333K3,"ANON_USER_1520","1488463785.207",USA
005330000073133,"ANON_USER_1075","1488463855.754",APAC
0053300000B33K5,"ANON_USER_620","1488464022.799",USA
0053300000B9B92,"ANON_USER_1631","1488464075.752",EMEA
0053300000B9B92,"ANON_USER_1631","1488464298.213",EMEA
0053300000B9B92,"ANON_USER_1631","1488464321.939",EMEA
00540000003B332,"ANON_USER_1279","1488464364.325",APAC
0053300000B3201,"ANON_USER_637","1488464460.807",APAC
005400000030GKB,"ANON_USER_3125","1488464682.951",EMEA
005400000030GKB,"ANON_USER_3125","1488464687.707",EMEA
00540000003B3B3,"ANON_USER_2427","1488464747.963",APAC
00540000003B233,"ANON_USER_2692","1488464844.001",USA
0053300000B33K5,"ANON_USER_3265","1488464920.924",USA
00540000003J2B7,"ANON_USER_2193","1488464969.576",EMEA
0053300000B9373,"ANON_USER_741","1488465033.476",USA
0053300000B33K5,"ANON_USER_3265","1488465041.521",USA
00540000003B233,"ANON_USER_2692","1488465074.218",USA
00540000003J2B7,"ANON_USER_1057","1488465091.093",USA
0053300000B3920,"ANON_USER_367","1488465345.628",USA
0053300000B3920,"ANON_USER_367","1488465348.833",USA
0053300000B3920,"ANON_USER_367","1488465360.223",USA
0053300000B3920,"ANON_USER_367","1488465361.558",USA
00540000003J2B7,"ANON_USER_1057","1488465593.317",USA
0054000000B9707,"ANON_USER_1512","1488465631.816",USA
00540000003B233,"ANON_USER_17","1488465663.462",USA
0054000000B2232,"ANON_USER_1169","1488465710.356",USA
0054000000B2232,"ANON_USER_2423","1488465728.808",USA
0054000000B2232,"ANON_USER_482","1488465729.435",USA
0054000000B2232,"ANON_USER_3301","1488465731.870",EMEA
005400000003937,"ANON_USER_142","1488465790.974",EMEA
0053300000B7531,"ANON_USER_3299","1488466086.460",USA
0054000000B7000,"ANON_USER_2486","1488466128.643",USA
0054000000B7000,"ANON_USER_2486","1488466173.682",USA
0054000000B3973,"ANON_USER_3125","1488466300.106",EMEA
0053300000B7331,"ANON_USER_234","1488466355.798",USA
0054000000B2293,"ANON_USER_3019","1488466361.022",USA
0054000000B2293,"ANON_USER_3019","1488466384.008",USA
0054000000B2293,"ANON_USER_1892","1488466390.310",USA
0054000000B3973,"ANON_USER_3125","1488466392.019",EMEA
0054000000B2293,"ANON_USER_1892","1488466395.556",USA
005400000030KK2,"ANON_USER_2529","1488466532.786",USA
005400000030KK2,"ANON_USER_2529","1488466568.357",USA
