"_time",count,EventCode,Keywords,"Logon_Process","Logon_Type","Logon_Type_Description",RecordNumber,Type,dest,user
"1477341984.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527394,Information,"host_1","user_48"
"1477342205.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527403,Information,"host_1","user_138"
"1477343734.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527429,Information,"host_1","user_16"
"1477344842.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527437,Information,"host_1","user_51"
"1477349003.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527469,Information,"host_1","user_53"
"1477349537.000",,4624,"Audit Success",User32,10,RemoteInteractive,3284085,Information,"host_23","user_1"
"1477352385.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527501,Information,"host_1","user_53"
"1477352449.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527507,Information,"host_1","user_41"
"1477356492.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527546,Information,"host_1","user_34"
"1477356909.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527556,Information,"host_1","user_100"
"1477357886.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527565,Information,"host_1","user_34"
"1477361947.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527600,Information,"host_1","user_34"
"1477383453.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527683,Information,"host_1","user_39"
"1477384867.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527697,Information,"host_1","user_39"
"1477403433.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527761,Information,"host_1","user_39"
"1477413904.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527801,Information,"host_1","user_145"
"1477413918.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527806,Information,"host_1","user_146"
"1477415598.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527816,Information,"host_1","user_52"
"1477416897.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527826,Information,"host_1","user_106"
"1477416917.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527830,Information,"host_1","user_146"
"1477417247.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527846,Information,"host_1","user_112"
"1477417554.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527851,Information,"host_1","user_51"
"1477418096.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527866,Information,"host_1","user_12"
"1477418226.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527874,Information,"host_1","user_138"
"1477418284.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527888,Information,"host_1","user_22"
"1477418430.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527895,Information,"host_1","user_22"
"1477422477.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527917,Information,"host_1","user_26"
"1477425978.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527944,Information,"host_1","user_146"
"1477426156.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527950,Information,"host_1","user_122"
"1477428425.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527964,Information,"host_1","user_51"
"1477429260.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527974,Information,"host_1","user_133"
"1477429294.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527981,Information,"host_1","user_53"
"1477429354.000",,4624,"Audit Success",User32,10,RemoteInteractive,1527986,Information,"host_1","user_16"
"1477432373.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528029,Information,"host_1","user_26"
"1477434699.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528045,Information,"host_1","user_51"
"1477434870.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528049,Information,"host_1","user_70"
"1477436143.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528064,Information,"host_1","user_16"
"1477436911.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528074,Information,"host_1","user_12"
"1477436999.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528083,Information,"host_1","user_16"
"1477445270.000",,4624,"Audit Success",Advapi,2,Interactive,965083623,Information,"host_11","user_5"
"1477445409.000",,4624,"Audit Success",Advapi,2,Interactive,965094817,Information,"host_11","user_5"
"1477445411.000",,4624,"Audit Success",User32,10,RemoteInteractive,965094932,Information,"host_11","user_13"
"1477489651.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528276,Information,"host_1","user_39"
"1477499968.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528310,Information,"host_1","user_12"
"1477502039.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528318,Information,"host_1","user_52"
"1477502047.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528321,Information,"host_1","user_86"
"1477502292.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528328,Information,"host_1","user_26"
"1477503379.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528339,Information,"host_1","user_146"
"1477503603.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528346,Information,"host_1","user_51"
"1477504590.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528352,Information,"host_1","user_16"
"1477505061.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528361,Information,"host_1","user_100"
"1477506778.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528385,Information,"host_1","user_112"
"1477510179.000",,4624,"Audit Success",Advapi,2,Interactive,969446752,Information,"host_11","user_5"
"1477510206.000",,4624,"Audit Success",User32,10,RemoteInteractive,969448673,Information,"host_11","user_144"
"1477511333.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528421,Information,"host_1","user_106"
"1477512022.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528439,Information,"host_1","user_138"
"1477512059.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528443,Information,"host_1","user_106"
"1477512430.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528447,Information,"host_1","user_12"
"1477512624.000",,4624,"Audit Success",User32,10,RemoteInteractive,3284581,Information,"host_23","user_1"
"1477515506.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528489,Information,"host_1","user_86"
"1477515802.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528494,Information,"host_1","user_12"
"1477515856.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528500,Information,"host_1","user_51"
"1477516349.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528509,Information,"host_1","user_16"
"1477522060.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528555,Information,"host_1","user_122"
"1477522378.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528563,Information,"host_1","user_86"
"1477522514.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528571,Information,"host_1","user_48"
"1477523173.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528576,Information,"host_1","user_51"
"1477523963.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528592,Information,"host_1","user_53"
"1477525090.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528610,Information,"host_1","user_133"
"1477583243.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528803,Information,"host_1","user_12"
"1477586393.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528816,Information,"host_1","user_146"
"1477587696.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528840,Information,"host_1","user_52"
"1477588535.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528847,Information,"host_1","user_26"
"1477592212.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528865,Information,"host_1","user_16"
"1477592714.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528875,Information,"host_1","user_112"
"1477593260.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528882,Information,"host_1","user_31"
"1477593521.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528890,Information,"host_1","user_31"
"1477595328.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528904,Information,"host_1","user_16"
"1477598549.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528918,Information,"host_1","user_112"
"1477601753.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528935,Information,"host_1","user_106"
"1477601923.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528939,Information,"host_1","user_146"
"1477602177.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528946,Information,"host_1","user_146"
"1477606126.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528973,Information,"host_1","user_12"
"1477606416.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528979,Information,"host_1","user_16"
"1477607583.000",,4624,"Audit Success",User32,10,RemoteInteractive,1528991,Information,"host_1","user_52"
"1477608912.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529002,Information,"host_1","user_53"
"1477614174.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529030,Information,"host_1","user_51"
"1477614396.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529040,Information,"host_1","user_26"
"1477616311.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529053,Information,"host_1","user_42"
"1477616627.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529060,Information,"host_1","user_26"
"1477620185.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529077,Information,"host_1","user_95"
"1477633271.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529123,Information,"host_1","user_34"
"1477635065.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529133,Information,"host_1","user_34"
"1477647803.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529183,Information,"host_1","user_39"
"1477648261.000",,4624,"Audit Success",Advapi,2,Interactive,968661227,Information,"host_12","user_4"
"1477648271.000",,4624,"Audit Success",User32,10,RemoteInteractive,968661828,Information,"host_12","user_10"
"1477673888.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529265,Information,"host_1","user_26"
"1477674257.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529273,Information,"host_1","user_52"
"1477674726.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529277,Information,"host_1","user_146"
"1477675297.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529283,Information,"host_1","user_26"
"1477676755.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529299,Information,"host_1","user_106"
"1477677686.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529310,Information,"host_1","user_133"
"1477677715.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529315,Information,"host_1","user_52"
"1477680618.000",,4624,"Audit Success",User32,10,RemoteInteractive,1529334,Information,"host_1","user_106"
