"_time",app,bytes,"bytes_in","bytes_out","src_ip","dest_ip","dest_port",packets,"packets_in","packets_out",duration,first
"2016-11-02T12:06:59.000-0700",ping,200,98,102,"10.83.36.71","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:06:58.000-0700",ping,200,98,102,"10.83.160.116","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:07:02.000-0700",ping,204,102,102,"10.83.32.94","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:06:53.000-0700",ping,200,98,102,"10.83.160.105","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:06:52.000-0700",ping,200,98,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T12:06:53.000-0700",ping,228,114,114,"10.11.168.28","189.206.15.89",0,2,1,1,0,189
"2016-11-02T12:05:49.000-0700",ping,204,102,102,"10.83.32.132","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:05:42.000-0700",ping,204,102,102,"10.83.36.161","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:05:31.000-0700",ping,200,98,102,"10.83.160.221","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:05:35.000-0700",ping,204,102,102,"10.83.32.127","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:05:32.000-0700",ping,204,102,102,"10.83.36.215","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:05:20.000-0700",ping,200,98,102,"10.83.36.186","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:05:18.000-0700",ping,200,98,102,"10.83.36.160","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:05:16.000-0700",ping,200,98,102,"10.83.160.105","185.29.43.200",0,2,1,1,0,185
"2016-11-02T12:04:48.000-0700",ping,204,102,102,"10.83.32.96","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:04:34.000-0700",ping,204,102,102,"10.83.32.132","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:02:06.000-0700",ping,204,102,102,"10.83.160.63","160.51.175.200",0,2,1,1,0,160
"2016-11-02T12:02:01.000-0700",ping,200,98,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T12:01:56.000-0700",ping,200,98,102,"10.83.160.229","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:01:54.000-0700",ping,200,98,102,"10.83.32.94","56.128.183.228",0,2,1,1,0,56
"2016-11-02T12:00:30.000-0700",ping,204,102,102,"10.83.36.161","184.12.54.186",0,2,1,1,0,184
"2016-11-02T12:00:27.000-0700",ping,204,102,102,"10.83.32.51","60.52.65.114",0,2,1,1,0,60
"2016-11-02T12:00:27.000-0700",ping,204,102,102,"10.188.214.11","42.42.42.8",0,2,1,1,0,42
"2016-11-02T12:00:17.000-0700",ping,228,114,114,"10.11.168.28","185.51.118.230",0,2,1,1,0,185
"2016-11-02T11:59:07.000-0700",ping,204,102,102,"10.83.36.215","184.12.54.186",0,2,1,1,0,184
"2016-11-02T11:59:08.000-0700",ping,204,102,102,"10.83.32.92","185.29.43.200",0,2,1,1,0,185
"2016-11-02T11:59:01.000-0700",ping,204,102,102,"10.83.160.194","60.52.65.114",0,2,1,1,0,60
"2016-11-02T11:58:55.000-0700",ping,200,98,102,"10.83.32.123","184.12.54.186",0,2,1,1,0,184
"2016-11-02T11:58:54.000-0700",ping,200,98,102,"10.83.32.125","185.29.43.200",0,2,1,1,0,185
"2016-11-02T11:58:56.000-0700",ping,204,102,102,"10.83.36.161","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:58:51.000-0700",ping,200,98,102,"10.83.32.94","160.51.175.200",0,2,1,1,0,160
"2016-11-02T11:49:56.000-0700",ping,204,102,102,"10.83.32.51","184.12.54.160",0,2,1,1,0,184
"2016-11-02T11:49:51.000-0700",ping,200,98,102,"10.83.36.150","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:49:48.000-0700",ping,200,98,102,"10.83.36.201","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:49:46.000-0700",ping,204,102,102,"10.83.160.214","184.12.54.160",0,2,1,1,0,184
"2016-11-02T11:49:44.000-0700",ping,204,102,102,"10.83.32.123","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:49:39.000-0700",ping,200,98,102,"10.83.160.194","184.12.54.160",0,2,1,1,0,184
"2016-11-02T11:49:40.000-0700",ping,204,102,102,"10.83.160.194","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:49:39.000-0700",ping,204,102,102,"10.83.160.77","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:49:17.000-0700",ping,204,102,102,"10.83.160.63","185.29.43.200",0,2,1,1,0,185
"2016-11-02T11:49:05.000-0700",ping,200,98,102,"10.83.160.55","184.12.54.160",0,2,1,1,0,184
"2016-11-02T11:49:01.000-0700",ping,200,98,102,"10.83.160.105","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:46:38.000-0700",ping,204,102,102,"10.83.32.74","56.128.183.228",0,2,1,1,0,56
"2016-11-02T11:46:36.000-0700",ping,204,102,102,"10.83.32.2","184.12.54.186",0,2,1,1,0,184
"2016-11-02T11:46:26.000-0700",ping,204,102,102,"10.83.160.55","135.248.26.216",0,2,1,1,0,135
"2016-11-02T11:46:25.000-0700",ping,204,102,102,"10.83.65.110","56.128.183.238",0,2,1,1,0,56
"2016-11-02T11:46:24.000-0700",ping,204,102,102,"10.83.36.161","185.29.43.200",0,2,1,1,0,185
"2016-11-02T11:40:59.000-0700",ping,204,102,102,"10.83.160.77","184.12.54.186",0,2,1,1,0,184
"2016-11-02T11:40:58.000-0700",ping,228,114,114,"10.11.168.28","185.51.118.230",0,2,1,1,0,185
"2016-11-02T11:39:21.000-0700",ping,200,98,102,"10.83.32.96","160.51.175.200",0,2,1,1,0,160
"2016-11-02T11:39:19.000-0700",ping,200,98,102,"10.83.36.86","184.12.54.160",0,2,1,1,0,184
"2016-11-02T11:37:20.000-0700",ping,204,102,102,"10.83.160.47","192.14.168.88",0,2,1,1,0,192
"2016-11-02T11:37:17.000-0700",ping,204,102,102,"10.83.32.94","184.12.54.160",0,2,1,1,0,184
"2016-11-02T11:37:14.000-0700",ping,204,102,102,"10.83.36.186","184.12.54.160",0,2,1,1,0,184
"2016-11-02T11:37:05.000-0700",ping,228,114,114,"10.11.168.28","136.86.125.116",0,2,1,1,0,136
"2016-11-02T11:35:10.000-0700",ping,200,98,102,"10.83.84.236","56.128.39.100",0,2,1,1,0,56
"2016-11-02T11:35:05.000-0700",ping,204,102,102,"10.83.65.110","56.128.183.238",0,2,1,1,0,56
"2016-11-02T11:35:01.000-0700",ping,200,98,102,"10.83.36.230","184.12.54.160",0,2,1,1,0,184
"2016-11-02T11:35:04.000-0700",ping,204,102,102,"10.83.36.222","185.29.43.200",0,2,1,1,0,185
