"Account_Domain","Account_Name","Authentication_Package",EventCode,"Key_Length","Logon_Process","Logon_Type","New_Logon_Security_ID","Subject_Security_ID",Type,"_time"
SUBSIDIARY1,"iadofhljna_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\iadofhljna_jnkmcac","NULL SID",Information,"1456903305.000"
SUBSIDIARY1,"fnf_lknmd_qo_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID",Information,"1456903368.000"
SUBSIDIARY1,"lmqbmf_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\lmqbmf_jnkmcac","NULL SID",Information,"1456903384.000"
SUBSIDIARY1,"fnf_lknmd_qo_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\fnf_lknmd_qo_jnkmcac","NULL SID",Information,"1456903419.000"
SUBSIDIARY1,"phjemhj_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\phjemhj_jnkmcac","NULL SID",Information,"1456903503.000"
SUBSIDIARY1,"hnilc_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\hnilc_jnkmcac","NULL SID",Information,"1456903677.000"
SUBSIDIARY1,"neaccoo_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\neaccoo_jnkmcac","NULL SID",Information,"1456903692.000"
SUBSIDIARY1,"mapeijq_jnkmcac",NTLM,4624,128,NtLmSsp,3,"SUBSIDIARY1\mapeijq_jnkmcac","NULL SID",Information,"1456903703.000"
SUBSIDIARY1,"akedka_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\akedka_jnkmcac","NULL SID",Information,"1456903752.000"
SUBSIDIARY1,"fikojkkok_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\fikojkkok_jnkmcac","NULL SID",Information,"1456903785.000"
SUBSIDIARY1,"liboibk_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\liboibk_jnkmcac","NULL SID",Information,"1456903844.000"
SUBSIDIARY1,"fjcbj_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\fjcbj_jnkmcac","NULL SID",Information,"1456903871.000"
SUBSIDIARY1,"fnqqhqp_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\fnqqhqp_jnkmcac","NULL SID",Information,"1456903954.000"
SUBSIDIARY1,"ockbkdb_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ockbkdb_jnkmcac","NULL SID",Information,"1456904106.000"
SUBSIDIARY1,"cqfleaib_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\cqfleaib_jnkmcac","NULL SID",Information,"1456904111.000"
SUBSIDIARY1,"alajh_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\alajh_jnkmcac","NULL SID",Information,"1456904203.000"
SUBSIDIARY1,"oojqlq_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\oojqlq_jnkmcac","NULL SID",Information,"1456904215.000"
SUBSIDIARY1,"kjannc_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\kjannc_jnkmcac","NULL SID",Information,"1456904261.000"
SUBSIDIARY1,"fecmb_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\fecmb_jnkmcac","NULL SID",Information,"1456904267.000"
SUBSIDIARY1,"mcoe_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\mcoe_jnkmcac","NULL SID",Information,"1456904299.000"
SUBSIDIARY1,"moikpfmnqa_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\moikpfmnqa_jnkmcac","NULL SID",Information,"1456904322.000"
SUBSIDIARY1,"ebloka_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ebloka_jnkmcac","NULL SID",Information,"1456904407.000"
SUBSIDIARY1,"fcofk_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\fcofk_jnkmcac","NULL SID",Information,"1456904517.000"
SUBSIDIARY1,"kdbqmnnlf_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\kdbqmnnlf_jnkmcac","NULL SID",Information,"1456904560.000"
SUBSIDIARY1,"ckekbnmlqflf_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ckekbnmlqflf_jnkmcac","NULL SID",Information,"1456904569.000"
SUBSIDIARY1,"cmakqknhl_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\cmakqknhl_jnkmcac","NULL SID",Information,"1456904623.000"
SUBSIDIARY1,"cccmfo_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\cccmfo_jnkmcac","NULL SID",Information,"1456904675.000"
SUBSIDIARY1,"ibcjkdoq_jnkmcac",NTLM,4624,0,NtLmSsp,3,"SUBSIDIARY1\ibcjkdoq_jnkmcac","NULL SID",Information,"1456904684.000"
