"_time",folder,item,user
"1485963842.000",PROPOSALS,"FILE_636","USER_362"
"1485963853.000",PROPOSALS,"FILE_652","USER_362"
"1485963882.000",PROPOSALS,"FILE_627","USER_362"
"1485963922.000",PROPOSALS,"FILE_612","USER_362"
"1485963962.000",PROPOSALS,"FILE_638","USER_362"
"1485963973.000",PROPOSALS,"FILE_642","USER_362"
"1485964022.000",PROPOSALS,"FILE_619","USER_362"
"1485964202.000",PROPOSALS,"FILE_610","USER_362"
"1485964212.000",PROPOSALS,"FILE_613","USER_362"
"1485964262.000",PROPOSALS,"FILE_623","USER_362"
"1485964272.000",PROPOSALS,"FILE_600","USER_362"
"1485964273.000",PROPOSALS,"FILE_607","USER_362"
"1485964352.000",PROPOSALS,"FILE_620","USER_362"
"1485964412.000",PROPOSALS,"FILE_633","USER_362"
"1485964422.000",PROPOSALS,"FILE_618","USER_362"
"1485964432.000",PROPOSALS,"FILE_635","USER_362"
"1485964482.000",PROPOSALS,"FILE_628","USER_362"
"1485964494.000",PROPOSALS,"FILE_634","USER_362"
"1485964522.000",PROPOSALS,"FILE_621","USER_362"
"1485964542.000",PROPOSALS,"FILE_605","USER_362"
"1485964543.000",PROPOSALS,"FILE_592","USER_362"
"1485964562.000",PROPOSALS,"FILE_630","USER_362"
"1485964572.000",PROPOSALS,"FILE_602","USER_362"
"1485964593.000",PROPOSALS,"FILE_651","USER_362"
"1485964594.000",PROPOSALS,"FILE_590","USER_362"
"1485964623.000",PROPOSALS,"FILE_626","USER_362"
"1485964632.000",PROPOSALS,"FILE_614","USER_362"
"1485964656.000",PROPOSALS,"FILE_648","USER_362"
"1485964662.000",PROPOSALS,"FILE_591","USER_362"
"1485964664.000",PROPOSALS,"FILE_596","USER_362"
"1485964692.000",PROPOSALS,"FILE_594","USER_362"
"1485964737.000",PROPOSALS,"FILE_624","USER_362"
"1485964742.000",PROPOSALS,"FILE_603","USER_362"
"1485964772.000",PROPOSALS,"FILE_625","USER_362"
"1485964782.000",PROPOSALS,"FILE_599","USER_362"
"1485964923.000",PROPOSALS,"FILE_189","USER_254"
"1485965169.000","FOLDER_13","FILE_185","USER_37"
"1485968045.000",PROPOSALS,"FILE_18","USER_207"
"1485968968.000","FOLDER_4","FILE_127","USER_345"
"1485971842.000","FOLDER_4","FILE_404","USER_342"
"1485977112.000",PROPOSALS,"FILE_434",jsmith
"1485980655.000",PROPOSALS,"FILE_464","USER_112"
"1485985621.000","FOLDER_4","FILE_104","USER_251"
"1485986415.000","FOLDER_13","FILE_187","USER_362"
"1485993529.000","FOLDER_13","FILE_165","USER_362"
"1485993664.000","FOLDER_13","FILE_170","USER_362"
"1485995629.000",PROPOSALS,"FILE_141",jsmith
"1485998115.000",PROPOSALS,"FILE_585","USER_362"
"1485999037.000","FOLDER_4","FILE_214","USER_72"
"1485999180.000","FOLDER_4","FILE_214","USER_72"
"1486001228.000","FOLDER_13","FILE_158","USER_154"
"1486001314.000","FOLDER_13","FILE_157","USER_154"
"1486002475.000","FOLDER_4","FILE_27","USER_114"
"1486002941.000","FOLDER_4","FILE_142","USER_114"
"1486002952.000","FOLDER_4","FILE_139","USER_114"
"1486002972.000","FOLDER_4","FILE_305","USER_114"
"1486002989.000","FOLDER_4","FILE_52","USER_114"
"1486003007.000","FOLDER_4","FILE_177","USER_114"
"1486003017.000","FOLDER_4","FILE_205","USER_114"
"1486003027.000","FOLDER_4","FILE_51","USER_114"
"1486008367.000","FOLDER_4","FILE_214","USER_72"
"1486028102.000",PROPOSALS,"FILE_583","USER_362"
"1486028161.000",PROPOSALS,"FILE_584","USER_362"
"1486028241.000",PROPOSALS,"FILE_579","USER_362"
"1486028571.000",PROPOSALS,"FILE_586","USER_362"
"1486028641.000",PROPOSALS,"FILE_577","USER_362"
"1486028671.000",PROPOSALS,"FILE_578","USER_362"
"1486028701.000",PROPOSALS,"FILE_581","USER_362"
"1486028851.000",PROPOSALS,"FILE_587","USER_362"
"1486028871.000",PROPOSALS,"FILE_336","USER_362"
